ID;PENDIENTE;ID_INCENDIO
1;116.04672;"2001010001"
2;70.95566;"2001010004"
3;nan;"2001010005"
4;103.5312;"2001010008"
5;107.295265;"2001010017"
6;72.388954;"2001010018"
7;76.58406;"2001010020"
8;72.14442;"2001010021"
9;81.53494;"2001010024"
10;117.03256;"2001010026"
11;111.230804;"2001010027"
12;111.230804;"2001010029"
13;111.230804;"2001010030"
14;97.65662;"2001010031"
15;69.28097;"2001010033"
16;nan;"2001010034"
17;79.582016;"2001010035"
18;81.756065;"2001010036"
19;92.39257;"2001010037"
20;76.44017;"2001010039"
21;nan;"2001010041"
22;76.61762;"2001010044"
23;97.91418;"2001020001"
24;57.945126;"2001020007"
25;55.159405;"2001020011"
26;41.01215;"2001020017"
27;41.68363;"2001020022"
28;44.329548;"2001020023"
29;55.488594;"2001020025"
30;35.656475;"2001020029"
31;17.661558;"2001020030"
32;17.661558;"2001020034"
33;53.984394;"2001020035"
34;17.661558;"2001020038"
35;38.515278;"2001020039"
36;128.43687;"2001020043"
37;59.9494;"2001020047"
38;65.84514;"2001020055"
39;24.491127;"2001020057"
40;37.68237;"2001020058"
41;35.656475;"2001020062"
42;30.334608;"2001020064"
43;23.846777;"2001020065"
44;28.06954;"2001020069"
45;128.43687;"2001020074"
46;129.6248;"2001020081"
47;82.72714;"2001020086"
48;133.01674;"2001030001"
49;80.41511;"2001030009"
50;106.2154;"2001030010"
51;128.16473;"2001030016"
52;112.74899;"2001030018"
53;75.10472;"2001030023"
54;33.68911;"2001030029"
55;62.52575;"2001030031"
56;73.11488;"2001030039"
57;33.68911;"2001030041"
58;122.59236;"2001030047"
59;122.59236;"2001030048"
60;33.68911;"2001030050"
61;88.08734;"2001030060"
62;96.011604;"2001030062"
63;18.470657;"2001030066"
64;103.03143;"2001030069"
65;109.732605;"2001030070"
66;119.47341;"2001030071"
67;74.76897;"2001030074"
68;75.10472;"2001030075"
69;104.89868;"2001030076"
70;77.558525;"2001030077"
71;84.921;"2001030082"
72;101.53933;"2001030090"
73;77.04669;"2001030094"
74;104.61942;"2001030095"
75;97.23854;"2001030096"
76;104.61942;"2001030100"
77;74.76897;"2001030101"
78;104.01287;"2001030103"
79;74.76897;"2001030117"
80;131.14354;"2001030120"
81;101.29916;"2001040001"
82;68.43303;"2001040003"
83;203.22447;"2001040004"
84;23.967102;"2001040005"
85;177.68748;"2001040006"
86;83.10255;"2001040007"
87;183.43314;"2001040021"
88;110.92151;"2001040026"
89;241.5001;"2001040032"
90;153.49731;"2001040034"
91;119.4193;"2001040042"
92;225.70964;"2001040046"
93;162.3078;"2001040047"
94;144.13622;"2001040052"
95;197.62518;"2001040053"
96;171.36983;"2001040056"
97;92.58949;"2001040059"
98;91.94048;"2001040066"
99;124.88756;"2001040070"
100;93.450745;"2001040072"
101;148.6299;"2001040073"
102;149.99547;"2001040074"
103;49.156307;"2001040089"
104;60.916073;"2001040090"
105;121.73025;"2001040093"
106;148.47374;"2001040094"
107;152.58293;"2001040098"
108;255.4516;"2001040099"
109;155.31958;"2001040106"
110;92.58949;"2001040108"
111;178.90631;"2001050001"
112;139.03496;"2001050002"
113;149.4306;"2001050005"
114;56.545265;"2001050008"
115;168.61064;"2001050010"
116;193.92094;"2001050011"
117;144.26804;"2001050012"
118;188.1646;"2001050013"
119;177.94171;"2001050016"
120;193.92094;"2001050017"
121;76.566635;"2001050021"
122;108.36283;"2001050022"
123;193.92094;"2001050023"
124;144.26804;"2001050026"
125;28.03231;"2001050027"
126;108.36283;"2001050028"
127;20.00221;"2001050029"
128;144.26804;"2001050030"
129;70.225044;"2001050033"
130;174.86407;"2001050034"
131;177.94171;"2001050035"
132;106.36684;"2001050037"
133;169.33873;"2001050038"
134;144.26804;"2001050040"
135;95.36527;"2001050044"
136;95.84916;"2001050045"
137;89.4117;"2001050046"
138;89.4117;"2001050047"
139;69.53305;"2001050050"
140;177.94171;"2001050051"
141;177.94171;"2001050052"
142;138.5647;"2001050053"
143;174.86407;"2001050055"
144;144.26804;"2001050056"
145;95.36527;"2001050057"
146;69.53305;"2001050058"
147;95.84916;"2001050059"
148;95.36527;"2001050062"
149;224.89996;"2001050063"
150;188.44942;"2001050064"
151;119.47656;"2001050067"
152;107.59906;"2001050069"
153;198.77016;"2001050078"
154;116.03115;"2001050080"
155;185.91362;"2001050082"
156;148.53809;"2001050083"
157;117.77429;"2001050084"
158;28.03231;"2001050086"
159;177.94171;"2001050087"
160;177.94171;"2001050088"
161;17.22214;"2001050091"
162;144.26804;"2001050096"
163;139.03496;"2001050099"
